,name,epochs,n,optimizer,hid_layer,train_accuracy,test_accuracy
0,1_lay_my_model_10,5,10,SGD,1,0.6919,0.679
1,1_lay_my_model_10,15,10,SGD,1,0.8267,0.8143
2,1_lay_my_model_10,5,10,RMSProp,1,0.8753,0.8533
3,1_lay_my_model_10,15,10,RMSProp,1,0.9078,0.8695
4,1_lay_my_model_10,5,10,adam,1,0.9129999999999999,0.8753
5,1_lay_my_model_10,15,10,adam,1,0.9223,0.8734
6,1_lay_my_model_10,5,10,NAdam,1,0.9284,0.879
7,1_lay_my_model_10,15,10,NAdam,1,0.9338,0.8781
8,1_lay_my_model_50,5,50,SGD,1,0.7979,0.7874
9,1_lay_my_model_50,15,50,SGD,1,0.8516,0.8355
10,1_lay_my_model_50,5,50,RMSProp,1,0.8835,0.8633
11,1_lay_my_model_50,15,50,RMSProp,1,0.9129999999999999,0.8783
12,1_lay_my_model_50,5,50,adam,1,0.9175,0.8802
13,1_lay_my_model_50,15,50,adam,1,0.927,0.8809
14,1_lay_my_model_50,5,50,NAdam,1,0.9373,0.8841
15,1_lay_my_model_50,15,50,NAdam,1,0.9418,0.88
16,1_lay_my_model_100,5,100,SGD,1,0.802,0.7916
17,1_lay_my_model_100,15,100,SGD,1,0.8523,0.8378
18,1_lay_my_model_100,5,100,RMSProp,1,0.8808,0.8542
19,1_lay_my_model_100,15,100,RMSProp,1,0.9178,0.8766
20,1_lay_my_model_100,5,100,adam,1,0.9243,0.875
21,1_lay_my_model_100,15,100,adam,1,0.937,0.8822
22,1_lay_my_model_100,5,100,NAdam,1,0.9405,0.8843
23,1_lay_my_model_100,15,100,NAdam,1,0.9463,0.878
24,3_lay_my_model_10,5,10,SGD,3,0.6763,0.6723
25,3_lay_my_model_10,15,10,SGD,3,0.8191,0.8077
26,3_lay_my_model_10,5,10,RMSProp,3,0.856,0.8398
27,3_lay_my_model_10,15,10,RMSProp,3,0.8908,0.8652
28,3_lay_my_model_10,5,10,adam,3,0.8851,0.8571
29,3_lay_my_model_10,15,10,adam,3,0.9018,0.8688
30,3_lay_my_model_10,5,10,NAdam,3,0.9065,0.8706
31,3_lay_my_model_10,15,10,NAdam,3,0.909,0.8704
32,3_lay_my_model_50,5,50,SGD,1,0.7911,0.7799
33,3_lay_my_model_50,15,50,SGD,1,0.8565,0.8398
